0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
ST3GAL1,48.0,75.0,27.0,1.0,9.0,93.0,8.0,30.0,7.0,66.0,51.0,60.0,44.0,23.0,18.0,53.0,46.0,80.0,40.0,78.0,94.0,19.0,0.0,39.0,104.0,2.0,0.0,11.0,3.0,27.0,3.0,22.0,0.0,3.0,0.0,5.0,1.0,2.0,232.0,42.0,59.0,72.0
IL32,37.0,76.0,37.0,3.0,25.0,114.0,27.0,53.0,498.0,2879.0,43.0,26.0,37.0,16.0,12.0,18.0,32.0,10.0,0.0,5.0,73.0,13.0,0.0,20.0,61.12,0.0,0.0,21.0,2.0,141.0,141.0,177.0,0.0,168.0,85.0,262.0,465.02,212.0,151.0,63.0,60.0,4090.0
MLXIPL,2.0,7.0,1.0,0.0,3.0,10.0,0.0,4.0,0.0,6.0,2.0,4.0,3.0,4.0,9.0,17.0,9.0,14.0,12.0,8.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,7.0,9.0,3.0
CD4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0
PTBP1,1012.0,1755.0,1003.0,79.0,572.0,3022.0,357.0,1397.0,250.0,2457.0,1396.0,1705.0,1912.0,1011.0,1115.0,2558.0,1875.0,1557.0,1328.0,1895.0,2489.0,494.0,0.0,947.0,2685.0,110.0,53.0,223.0,55.0,650.0,362.0,595.0,0.0,252.0,93.0,376.0,401.0,206.0,10294.0,1802.0,2589.0,1972.0
PLAUR,252.0,619.0,202.0,25.0,226.0,952.0,159.0,465.0,173.0,1010.0,505.0,583.0,538.0,333.0,507.0,440.0,621.0,393.0,445.0,335.0,651.0,132.0,0.0,280.0,640.0,31.0,28.0,48.0,17.0,153.0,106.0,100.0,0.0,47.0,13.0,6.0,10.0,6.0,4236.0,1177.0,1206.0,1236.0
DCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRCA1,93.0,187.0,68.0,4.0,96.0,380.0,57.0,232.0,68.0,518.0,253.0,764.0,1043.0,968.0,799.0,918.0,1101.0,493.0,422.0,444.0,198.0,23.0,0.0,81.0,191.0,7.0,10.0,38.0,9.0,71.0,37.0,40.0,0.0,5.0,2.0,2.0,3.0,1.0,2728.0,774.0,816.0,410.0
ERCC1,333.0,649.0,287.0,23.0,234.0,910.0,165.0,532.0,97.0,490.0,563.0,571.0,587.0,338.0,535.0,484.0,663.0,616.0,533.0,586.0,702.0,130.0,0.0,222.0,616.0,7.0,21.0,111.0,29.0,125.0,74.0,76.0,0.0,19.0,13.0,38.0,41.0,12.0,2891.0,658.0,728.0,647.0
CD22,12.0,58.0,33.0,1.0,11.0,84.0,8.0,44.0,7.0,81.0,34.0,57.0,66.0,50.0,61.0,77.0,71.0,113.0,83.0,108.0,70.0,6.0,0.0,21.0,38.0,1.0,0.0,2.0,5.0,12.0,7.0,6.0,0.0,4.0,3.0,25.0,27.0,16.0,289.0,59.0,101.0,50.0
NR1H4,27.0,82.0,35.0,2.0,4.0,58.0,11.0,45.0,4.0,21.0,30.0,51.0,36.0,42.0,60.0,25.0,87.0,130.0,111.0,88.0,42.0,7.0,0.0,16.0,15.0,4.0,4.0,9.0,4.0,2.0,1.0,7.0,0.0,1.0,0.0,11.0,40.0,12.0,282.0,73.0,64.0,18.0
ALOX5,38.0,61.0,25.0,5.0,27.0,94.0,10.0,48.0,3.0,37.0,61.0,78.0,76.0,64.0,59.0,65.0,82.0,85.0,65.0,77.0,64.0,20.0,0.0,18.0,52.0,1.0,3.0,7.0,0.0,7.0,5.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,421.0,76.0,112.0,24.0
MVP,1587.0,2701.48,1359.0,130.0,911.93,4216.88,608.24,2005.77,479.44,3871.21,1746.78,3196.86,2776.64,1335.6,1562.55,2254.28,2301.93,2235.66,1711.85,2789.58,3607.67,691.0,0.0,1372.87,3537.73,122.0,49.0,261.61,84.96,565.97,226.97,394.03,0.0,77.95,23.0,38.0,33.0,14.0,19551.34,3164.79,4522.14,3364.15
RNF14,233.0,556.0,215.0,13.0,218.0,887.0,132.0,676.0,99.0,525.0,577.0,526.0,714.0,401.0,474.0,330.0,596.0,804.0,786.0,655.0,566.0,79.0,0.0,182.0,430.0,11.0,48.0,124.0,64.0,90.0,53.0,82.0,0.0,11.0,6.0,21.0,29.0,14.0,2215.0,630.0,621.0,729.0
ZMYND11,278.0,636.0,260.0,31.0,215.0,1215.0,235.0,712.0,83.0,494.0,752.0,750.0,940.0,894.0,671.0,630.0,826.0,895.0,768.0,811.0,795.0,100.0,0.0,307.0,570.0,11.0,107.0,312.0,179.0,246.0,132.0,237.0,0.0,77.0,58.0,80.0,120.0,38.0,2524.0,622.0,672.0,602.0
BID,171.0,376.0,152.0,17.0,155.0,584.0,122.0,353.0,141.0,837.0,345.0,358.0,374.0,224.0,355.0,214.0,446.0,334.0,290.0,300.0,379.0,37.0,0.0,119.0,280.0,6.0,14.0,56.0,23.0,52.0,27.0,32.0,0.0,19.0,4.0,6.0,20.0,7.0,953.0,247.0,267.0,1083.0
NPC1L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,38.0,17.0,6.0,3.0,1.0,1.0
ISL1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
ATP2C1,255.0,585.0,269.0,21.0,194.0,936.0,136.0,553.0,114.0,636.0,590.0,613.0,827.0,510.0,554.0,496.0,845.0,729.0,626.0,634.0,702.0,94.0,0.0,291.0,496.0,11.0,66.0,158.0,77.0,154.0,31.0,115.0,0.0,17.0,8.0,43.0,40.0,20.0,2676.0,719.0,697.0,803.0
IGF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWTR1,460.0,1028.0,535.0,47.0,455.0,2231.0,338.0,1180.0,159.0,927.0,1282.0,1073.0,1476.0,974.0,778.0,917.0,1172.0,1500.0,1302.0,1352.0,1309.0,193.0,0.0,535.0,1238.0,37.0,202.0,347.0,205.0,253.0,118.0,193.0,0.0,20.0,12.0,8.0,16.0,6.0,8289.0,2072.0,1987.0,1223.0
ATP1A2,0.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,3.0,1.0,0.0,7.0,4.0,6.0,2.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,1.0,1.0
