0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
HGF,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.05,0.0,0.02,0.0,0.0,0.26,0.03,0.1,0.11,0.05,0.08,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.14,0.03,0.14,0.23
MNAT1,34.73,34.48,20.21,31.1,22.85,32.93,50.23,43.57,46.46,19.08,43.78,34.45,31.81,43.79,34.69,62.0,32.83,30.76,35.63,27.37,33.59,27.84,0.0,36.41,30.09,19.69,91.69,54.49,87.9,19.51,16.51,32.92,0.0,14.99,17.37,30.78,57.16,52.5,21.01,28.11,28.0,34.54
SAMD4A,0.82,1.32,6.25,6.38,1.07,1.46,0.32,1.07,4.33,8.54,1.84,3.46,3.43,2.46,3.56,3.48,1.13,1.61,0.95,1.6,4.05,4.95,0.0,3.86,3.74,0.0,0.33,0.7,2.28,9.33,6.14,9.63,0.0,24.15,30.71,24.61,22.05,21.7,2.02,0.93,1.25,4.83
RUNX3,4.68,1.2,0.79,0.0,0.7,0.77,0.14,0.76,1.67,0.43,0.48,1.2,1.7,0.68,1.04,2.96,1.87,1.42,0.75,1.45,1.14,2.03,0.0,1.26,0.97,2.9,0.0,0.24,0.0,5.97,4.27,11.7,0.0,5.47,6.66,0.25,0.58,0.0,1.24,0.84,1.33,0.68
SERPINB1,54.35,57.06,52.83,41.66,62.76,56.79,38.51,56.21,59.99,64.52,58.43,48.26,57.44,62.43,76.03,48.07,48.51,59.48,65.55,55.74,54.23,46.94,0.0,37.31,30.86,55.89,35.42,16.97,50.39,13.84,27.81,17.64,0.0,12.01,13.7,2.79,2.03,0.74,98.02,103.17,98.65,81.29
SPAST,7.51,4.06,3.5,14.13,3.79,5.2,6.98,5.28,7.68,8.79,6.72,4.88,7.21,9.61,8.23,5.63,4.05,6.04,5.61,6.88,6.0,3.75,0.0,6.31,6.26,8.84,14.24,8.37,12.48,9.48,8.72,12.89,0.0,9.98,30.16,13.09,2.19,0.76,5.1,4.02,4.49,5.89
NLRP2,20.22,18.32,19.41,39.95,16.52,17.18,10.03,20.35,18.49,21.79,18.38,22.97,31.52,22.85,20.23,22.82,20.14,24.12,22.59,21.27,23.94,25.14,0.0,21.91,18.28,46.72,5.49,15.48,12.09,29.54,40.24,17.52,0.0,33.26,32.7,2.56,4.21,1.05,19.49,19.54,19.39,18.83
RB1CC1,10.42,8.22,5.39,13.65,5.73,12.68,16.61,24.04,15.5,8.13,14.28,8.27,13.36,11.65,5.66,9.33,8.04,15.56,13.66,13.36,9.64,8.29,0.0,19.11,11.36,42.91,17.54,42.42,56.21,24.15,29.57,22.01,0.0,54.06,64.43,120.08,94.96,70.56,8.66,11.31,9.74,11.98
ERP44,16.16,18.15,18.48,21.56,18.94,17.73,17.7,16.16,20.8,15.99,18.32,13.46,14.76,14.04,17.77,12.55,15.99,16.37,16.81,13.28,15.6,13.83,0.0,15.3,11.76,9.26,12.76,10.87,16.17,6.04,5.3,6.95,0.0,5.33,5.91,3.64,7.86,7.4,20.43,24.8,21.35,19.6
BIRC3,8.28,7.03,7.23,1.45,5.87,10.51,22.12,16.4,110.26,81.27,14.86,7.57,11.34,19.69,4.7,6.72,8.88,4.71,4.77,3.25,7.71,4.74,0.0,11.17,7.67,5.99,37.26,43.66,47.06,110.17,156.89,138.1,0.0,239.16,232.28,84.56,97.14,101.8,24.09,29.41,25.58,117.41
ABCC2,111.69,146.1,107.43,128.6,112.4,164.89,106.54,146.71,102.7,82.19,134.44,114.81,125.64,148.28,123.13,121.46,103.52,187.91,142.12,135.35,104.66,89.91,0.0,134.88,125.7,149.97,45.68,84.12,55.09,115.53,141.94,96.33,0.0,41.82,46.91,5.84,13.14,3.37,143.74,155.78,167.57,93.81
HSF2,4.11,4.64,4.71,11.49,4.76,5.33,3.54,5.89,1.59,5.05,4.24,7.2,9.7,5.13,7.25,5.94,4.44,6.45,6.68,5.49,5.27,6.54,0.0,5.37,3.64,0.0,3.45,8.76,11.8,6.79,6.92,7.59,0.0,6.05,15.32,10.31,14.58,14.0,5.2,7.71,4.76,5.62
