0,1,2,3,4,5,6,7,8,9,10
PRKCQ,0.17,0.02,1.62,0.88,1.03,0.08,0.97,0.28,0.97,0.79
ME1,0.95,2.65,8.02,2.89,1.01,5.68,1.65,10.68,1.44,20.76
YBX1,97.5,97.3,238.33,159.97,96.67,274.66,164.26,301.72,78.96,172.45
ELAVL1,8.13,8.17,14.0,12.29,13.08,20.03,12.94,10.83,8.98,28.11
NFYC,18.65,12.71,21.75,20.89,16.99,30.44,17.82,21.01,13.46,24.27
SLC9A3,0.25,0.22,0.45,0.5,0.29,0.61,0.25,0.35,0.13,0.73
ASPM,0.2,0.14,1.56,0.46,0.32,0.9,0.17,7.4,0.14,6.07
SPI1,6.26,2.32,10.88,21.59,7.43,3.21,14.9,13.48,7.91,5.94
ZNRD1,9.42,5.47,10.58,8.26,11.2,9.94,12.88,19.42,10.6,17.81
PFKP,1.35,0.13,5.31,7.66,3.54,2.37,7.88,2.13,12.14,2.27
SP100,46.03,40.43,47.17,85.11,65.88,29.35,53.67,45.31,46.26,33.0
KLF6,343.13,157.43,80.24,97.5,86.16,25.82,118.74,52.11,161.21,58.11
PKM,9.92,4.68,34.08,33.44,18.82,106.71,48.95,76.93,35.6,32.13
TP53BP1,2.6,1.17,3.73,4.67,2.21,3.94,6.6,5.48,3.84,4.04
RHOA,79.41,60.14,184.9,131.62,90.27,100.35,122.93,154.13,68.77,135.19
CBFB,6.06,2.62,6.42,7.02,5.68,3.53,8.92,7.8,8.26,5.43
HDAC4,1.0,1.04,0.83,1.04,0.97,0.77,1.61,2.01,1.31,0.67
RASSF1,8.96,3.51,10.88,11.19,11.3,4.15,14.48,17.72,13.4,6.68
FGFR3,12.31,12.46,23.67,29.29,39.04,7.24,28.7,61.98,30.56,5.75
MEF2A,8.07,7.05,8.53,12.75,8.56,3.59,8.68,6.74,5.77,6.6
ACSL4,2.81,3.1,16.38,42.98,3.72,9.77,8.72,36.35,1.95,4.99
POLR1A,0.61,0.65,1.71,1.13,1.3,2.73,1.83,3.36,1.48,1.83
SIRT2,19.17,16.17,20.2,28.47,16.09,38.29,23.02,18.81,29.3,25.66
