genename,ID_REF,rep1_T1,rep1_T2,rep1_T3,rep1_T4,rep1_T5,rep1_T6,rep1_T7,rep1_T8,rep2_T1,rep2_T2,rep2_T3,rep2_T4,rep2_T5,rep2_T6,rep2_T7,rep2_T8,rep3_T1,rep3_T2,rep3_T3,rep3_T4,rep3_T5,rep3_T6,rep3_T7,rep3_T8
rpmC,eco_gcs1_t12013,7184.885614,7104.373845,6705.247222,7196.983023999999,8911.910322,6348.712636,8527.96414,5743.558272,5995.453721,4525.548895,6660.740959000001,6865.637790999999,5313.145914,6090.659191,5733.167354,4715.061654,5124.580704,5171.570402,6344.930598,5993.392396,5655.212261,4366.177053,5809.88529,5587.442643
rpsC,eco_gcs1_t08728,11527.07112,9165.916637,7893.225564,10351.52786,11564.06065,9727.231429000001,12132.09984,7368.138537000001,12051.824509999999,6775.825197,11072.5102,11808.14433,6688.102591,8097.814662999999,8465.131277,6600.863885,6687.654864,6879.357272,7950.236828,8417.982632,8362.211503,5787.091596,7750.789804999999,6587.652522
rpsJ,eco_gcs1_t08736,9489.863148999999,4694.566504,5776.332157,9205.770926000001,15616.07661,11732.95794,16474.97294,10701.27749,15139.889780000001,10068.933809999999,17214.078080000003,15921.687430000002,4375.260162,6086.011781,6009.7716869999995,5270.4189670000005,5468.756222,5517.183063,6137.007007,6455.543879,6337.538018,5422.345636999999,6881.266095,6832.679851999999
rpsP,eco_gcs1_t11900,1817.283268,1315.7610359999999,1448.377694,2069.9727780000003,3653.7262119999996,2880.588222,3769.371117,2853.253929,3592.4740229999998,3160.33401,4354.422618,4005.7266409999997,1102.5288289999999,1259.410765,1225.059608,973.3238970000001,1258.910435,1131.21527,1384.235545,1433.02203,1303.477826,1160.950751,1621.015875,1544.518638
rpsQ,eco_gcs1_t08727,3366.2993659999997,2641.635225,2686.789311,3805.215931,5066.295190999999,3746.3844799999997,4431.844018,3356.6041,3366.6723130000005,2392.60846,3893.8260200000004,3700.994671,2596.450788,2902.1684800000003,2885.8430280000002,2388.675036,2441.4024489999997,2706.887198,3500.4724060000003,3016.5947,2820.085435,2475.864684,3325.852134,3209.202803
rpsS,eco_gcs1_t08730,25388.96264,33511.23092,24521.43301,21205.02748,22746.159190000002,19721.03036,26538.48115,16001.1598,26251.845409999998,15395.4482,23899.882380000003,23512.816430000003,28741.3167,29101.83105,28740.716539999998,25284.84347,25336.14038,25108.87988,30122.906789999997,30289.18232,28093.56599,19789.13511,26066.21881,29221.0334
sdhA,eco_gcs1_t11603,1933.5570329999998,2473.986002,2267.034776,2158.7876929999998,1942.8655670000003,1632.090226,1903.950032,1535.219047,1794.844677,1418.39695,2014.8499940000002,2043.9252210000002,2670.6493,2936.954126,3006.547082,2724.4626350000003,2379.5622329999997,2564.659385,3385.9947060000004,3119.626414,3131.869447,2313.887631,2776.607893,3057.64131
sdhB,eco_gcs1_t01806,405.0704936,630.2262595,505.86932790000003,418.4941853,345.1096855,310.52948169999996,346.60019339999997,293.7220099,335.6360247,222.2335784,384.598142,365.41364120000003,678.4559256,737.9501319,680.9075417,591.3401001,620.4777892000001,570.4580111,832.4236287,773.0624006,629.2221742,495.7431982,633.83175,632.7311877999999
sdhC,eco_gcs1_t01803,8210.725728,9584.065287000001,8617.684828,6707.366245,7068.368823000001,6550.060375999999,7250.787608,4414.141363000001,8279.012768,5690.207102,7986.207877,8160.540591,10473.04339,9393.54883,10163.237070000001,9598.291352,7826.156591,9402.218551,10529.73548,10702.25248,11449.920559999999,8891.169069,10425.92272,9461.3067
sdhD,eco_gcs1_t01804,10262.363609999999,11421.23833,11834.38872,9717.832614,10775.70581,8047.420233,9072.996826,6614.483058,10875.94581,7347.582348000001,10685.165570000001,11368.25012,12130.73101,11645.3091,14039.21385,12337.9022,11093.61599,11309.16105,14847.541769999998,14006.152540000001,16276.26074,12623.87952,15977.4947,13989.60982
