0,1,2,3,4,5,6,7,8,9,10
FOXC1,25.0,1.0,64.0,19.0,30.0,19.0,91.0,101.0,89.0,21.0
CYFIP2,381.0,247.0,460.0,597.0,361.0,899.0,436.0,202.0,392.0,121.0
EIF2AK2,380.55,339.0,760.0,1200.0,921.0,734.0,698.0,661.0,503.0,586.0
TRAF1,131.0,85.0,251.0,338.0,215.0,128.0,391.0,142.0,310.0,202.0
TRAF3IP2,101.0,105.0,159.0,162.0,108.0,219.0,158.0,179.0,160.0,163.0
DCBLD2,170.0,290.0,323.0,282.0,260.0,276.0,231.0,411.0,269.0,193.0
PRDM1,69.0,46.0,217.0,161.0,174.0,32.0,363.0,111.0,185.0,212.0
ATG5,158.0,183.0,205.0,196.0,169.0,344.0,207.0,208.0,92.0,206.0
MTA3,109.0,62.0,237.0,163.0,159.0,491.0,148.0,262.0,142.0,222.0
DGKG,15.0,15.0,54.0,43.0,22.0,29.0,21.0,82.0,38.0,60.0
TBXAS1,56.0,16.0,88.0,139.0,44.0,75.0,79.0,67.0,44.0,153.0
MXD1,197.0,84.0,139.0,192.0,94.0,297.0,197.0,172.0,109.0,206.0
SLC2A3,425.66,280.94,383.0,208.12,265.63,292.28,1653.94,503.0,723.0,1486.99
CREB3L3,1261.0,1279.0,2522.0,2372.0,1076.0,1697.0,3670.0,1192.0,3051.0,3187.0
COL11A1,0.0,0.0,9.0,0.0,0.0,0.0,9.0,22.0,0.0,0.0
ACAA1,4336.8,6182.3,2434.31,4485.35,6043.15,4908.33,4562.72,1963.0,2070.99,2701.84
HDAC7,144.14,127.0,465.62,573.19,280.23,318.9,585.01,654.11,617.95,168.99
WNT8A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH3,0.0,0.0,9.0,5.0,8.0,1.0,2.0,0.0,10.0,3.77
VMP1,7771.0,2685.0,4944.0,2999.0,3807.0,4320.0,6954.0,3036.0,7522.0,6653.0
SPHK2,153.13,160.32,181.61,454.58,283.58,547.76,179.18,249.99,87.63,483.83
AHRR,1.79,3.39,1.0,0.0,4.0,0.0,0.0,0.85,3.27,0.0
CASP8,185.0,198.0,522.0,540.0,338.0,311.0,310.0,354.0,279.0,438.0
DLX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NGFR,215.0,453.0,374.0,592.0,294.0,43.0,742.0,242.0,477.0,49.0
HIPK2,462.0,497.0,1239.0,695.0,708.0,1230.0,533.0,1050.0,673.0,3096.0
BORCS8-MEF2B,0.0,14.08,1.51,0.0,3.08,12.73,1.49,0.0,0.0,0.0
RFXANK,102.84,105.63,254.07,242.74,147.58,316.73,223.74,430.58,160.52,370.17
LPAR2,53.0,18.0,109.0,195.0,117.0,90.0,158.0,95.0,155.0,40.0
POU1F1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF76,229.0,246.0,314.0,354.0,305.0,422.0,306.0,319.0,255.0,260.0
UHRF1BP1,80.0,80.0,175.0,173.0,147.0,249.0,97.0,223.0,105.0,113.0
GNAI3,324.0,360.0,747.0,675.0,474.0,745.0,581.0,796.0,331.0,542.0
MCM10,1.0,1.0,15.0,17.0,2.0,24.0,9.0,100.0,2.0,62.0
ERBB3,1887.0,1645.0,2334.0,3638.0,2317.0,2740.0,1033.0,3798.0,1824.0,4066.0
SPEN,575.0,638.0,927.0,687.0,724.0,358.0,742.0,978.0,674.0,583.0
