0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
MSR1,6.25,16.49,2.66,6.79,14.07,13.2,14.12,6.98,16.8,8.72,4.25,5.0,1.56,0.75,0.0,2.3,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.0
CDH1,35.97,29.19,33.26,8.7,13.01,14.62,19.11,37.73,8.68,38.46,21.2,12.6,76.27,57.12,114.81,26.81,34.16,16.61,66.21,85.4,120.61,48.31,26.24,28.97
TNC,0.94,1.65,12.21,15.37,12.13,1.1,9.5,0.65,8.07,29.41,4.34,10.44,2.01,4.37,62.84,1.21,0.59,0.02,0.0,0.0,0.0,1.99,22.92,3.84
AIFM2,4.17,2.3,4.53,2.94,6.39,5.33,2.15,1.22,1.21,1.52,2.88,1.92,2.59,3.54,4.12,6.57,1.95,10.96,1.26,5.41,1.42,1.99,6.07,9.88
TG,0.26,1.64,0.68,7.93,0.56,0.74,1.99,0.0,0.55,0.15,0.22,0.14,0.24,1.15,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.08,0.97,0.0
ZIC2,0.0,0.0,0.49,0.55,0.0,0.28,0.09,0.0,0.05,0.85,0.36,0.0,0.0,0.12,0.0,0.0,0.04,0.27,0.33,0.62,3.47,3.56,2.05,0.0
GUCA2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPA5,142.18,150.33,282.4,78.36,247.34,113.41,104.0,128.08,111.35,249.52,89.08,143.98,96.61,44.36,83.11,32.09,97.47,88.61,39.32,36.34,30.96,30.88,48.3,18.81
MAP4,38.95,24.47,35.17,47.06,40.5,30.58,45.18,4.98,5.83,7.23,7.47,13.92,6.63,11.07,19.53,7.23,2.53,9.12,11.97,6.58,3.28,15.26,12.81,9.12
ROS1,0.03,0.0,0.05,0.0,0.0,0.02,0.46,0.0,0.0,0.01,0.0,0.01,0.26,0.0,0.0,0.06,0.0,0.0,0.59,0.0,0.0,0.0,0.42,0.0
HDAC9,1.59,2.96,1.32,14.15,1.49,3.21,2.29,0.86,1.49,0.66,1.94,2.28,12.9,1.46,6.01,22.63,2.42,2.03,8.45,0.18,4.7,0.0,6.24,3.42
RRM2B,1.22,3.92,3.38,1.51,1.22,4.2,1.14,2.89,1.98,2.3,1.39,2.51,3.91,10.5,9.81,2.74,3.76,9.36,2.94,7.87,9.22,3.09,6.4,3.41
