genename,rep1_T1,rep1_T2,rep1_T3,rep1_T4,rep1_T5,rep1_T6,rep1_T7,rep1_T8,rep2_T1,rep2_T2,rep2_T3,rep2_T4,rep2_T5,rep2_T6,rep2_T7,rep2_T8,rep3_T1,rep3_T2,rep3_T3,rep3_T4,rep3_T5,rep3_T6,rep3_T7,rep3_T8
lsrF,271.7570252,257.1665307,196.2577416,183.0530939,162.5587815,171.5733965,150.008828,157.7192069,281.5164699,256.527078,158.6024554,165.8902225,230.9330218,218.8249371,217.9957289,244.3102188,365.2135497,375.2839712,292.3592547,207.1356426,273.3591644,257.0106273,222.1299475,299.6232839
lsrG,89.43629208,99.81017054,84.84693559,79.85536661,62.26854747,67.89592285,78.3295008,64.40006043,101.4736951,77.67798135,71.69049139,77.18781464,66.87850757,65.88567987,60.55378609,79.99873042,89.7310237,83.06976037,89.7738822,52.51005256,51.2825885,65.48193452,59.40050599,87.84235394
tam,118.7850202,114.0515419,78.49131335,66.61992371,60.58298314,61.00396939,48.02336502,59.3445992,117.7232079,109.2753265,78.70730768,63.66997662,62.60187317,54.25319581,60.47055995,74.54244886,148.8309519,141.9566461,120.6223605,92.95481596,63.51724625,73.05926606,67.93913233,91.69702193
rspB,2.997194967,3.739251142,3.209164253,2.990118119,3.169366418,2.420982761,2.957151347,3.58696717,2.364455758,4.351970702,3.073541392,3.061643189,4.088328323,3.207908496,4.306671284,2.334265583,5.716081416,4.192156485,2.904505846,4.266428759,4.415705522,3.569005526,3.890952009,2.723002066
rspA,10.78299191,6.161703315,5.251249812,7.888642423,6.164309075,7.090386829,6.470898762,9.106459171,7.962190181,8.75546598,10.01429311,8.53234385,6.330599577,3.798253138,6.536468882,7.341099169,7.860266604,8.591470557,5.34475205,9.584977267,7.178637745,5.888186655,8.164582747,6.699277268
uidC,2.704271823,2.726741658,3.49474645,4.301657114,6.010647786,6.20063798,6.112737843,9.245833881,4.387879775,4.476369326,6.138286988,3.807247221,4.082395641,3.394704346,5.791007642,6.156216467,4.320289575,3.514179597,3.705900116,5.829572522,4.86800374,5.849389019,6.377546269,5.596210544
gatZ,3541.797073,3644.751257,2932.860037,2156.259301,1309.683962,1192.544993,915.6250096,229.4597884,3751.448321,2732.810804,2120.527853,1767.471804,1511.576268,1128.726647,808.617052,364.2167772,2639.722406,2695.751305,2634.989657,1501.768119,1272.182965,882.1411407,708.4782964,277.8453544
murP,29.86242937,26.55500271,22.97896364,23.3878271,24.18563394,23.61807287,20.9262661,36.14386143,37.10192618,47.41415545,34.6956977,27.63739229,20.86778143,31.76878258,20.63901001,49.92156298,36.93432113,35.96213868,33.58835319,37.62850681,25.3091391,32.88955903,28.29706828,23.11369944
csiE,4.233415726,6.252860061,5.890257746,6.695474408,6.435154828,5.034607039,5.057110505,3.482633046,6.974183873,6.83830418,3.243127997,6.395929051,6.309870679,3.675362268,5.851593798,4.413838769,8.031426157,5.814584284,5.044625499,5.989685489,5.251844595,4.967013652,5.483181632,4.542309055
ygcW,5.862754725,4.89429433,2.239604806,2.167099883,2.664531157,2.187335809,2.340043196,6.014942872,5.05718321,8.946828625,5.911011343,2.711468329,2.174033949,3.651489643,5.193335186,4.885340102,4.070311255,5.904844068,2.33608315,6.56564326,2.3628456,4.975281685,4.455178774,4.195206112
yqeF,268.5171351,273.8714563,129.0837439,95.53194954,81.7824552,78.31069576,69.86288805,70.79576255,255.2935454,260.4977511,131.3297582,93.34584685,89.18255725,77.14500666,65.70179099,70.0777896,216.9267909,198.7449734,116.9376574,79.92342173,82.95487621,67.57883858,59.90648466,71.40637948
ygeW,3.093270899,2.41042536,2.226788488,2.18993061,2.048504386,2.721243063,1.726433927,3.584609691,1.921668817,2.85424478,2.031439741,2.031370507,2.125763203,3.480874784,3.759367745,2.772732811,2.049745043,2.541594942,2.026512457,2.339740416,2.837030823,2.007682708,2.35043086,5.001723418
kbaZ,6.158821585,3.249420627,2.699861385,2.95280002,4.021147073,5.33548238,3.065477286,5.899604772,5.487820849,4.25081443,4.704114888,4.960972075,2.210390613,7.116801208,3.763291387,7.147398016,8.359904821,10.76481928,2.92512637,4.000108703,2.423859049,4.134999569,4.118185121,3.423717971
agaV,9.102131315,6.018657515,4.256256606,5.217748056,4.21385706,6.633177129,5.483125107,6.211442223,9.068416947,7.15300984,9.039962765,7.018195969,4.038931571,3.105530579,5.902165126,6.172393449,8.012194096,11.46295306,4.559929379,15.44300989,4.569436089,3.726445926,9.230930781,4.990510634
agaW,19.87726067,12.21873736,9.257194167,9.743610917,12.77095509,13.50385571,10.25480367,20.18862438,13.93960489,20.69212064,15.80863469,15.07455288,11.84963961,8.346982827,18.43904816,14.54045966,16.39300862,17.10794084,9.625378041,31.91521054,13.43985798,13.88817259,20.31431834,17.86326815
aaeB,15.90187968,16.85183158,18.04472931,14.99710222,18.86517532,23.5068449,24.89564335,36.15154223,16.44693029,15.58314797,25.89095638,19.87057067,17.12377653,24.82178782,22.12954017,35.46161187,17.34152352,14.62924386,20.16888627,25.7863596,25.58225618,26.84690669,28.55003244,27.15290515
aaeA,11.80502136,7.505578332,6.972037076,9.368973304,11.52611954,9.492485181,13.6571365,26.75469726,12.76301309,18.19572936,17.76742148,12.29808986,5.608354938,8.905845211,12.51244315,18.7152492,17.21816445,10.87350692,8.883366787,18.36224741,10.92596608,11.51895149,15.12247218,15.69112761
